Row Labels,Sum of value
"Mr.   Shaukat   Aziz, Advisor to the Prime Minister  on  Finance
and           Economic Affairs",5500
"Mr.   Mahmood   Saleem Mahmood
Secretary,    M/o    Youth Affairs",5500
"Mr.   Muhammad   Younas
Khan   Chief   Cameraman PTV",5500
"Mr.     Farhat     Iqbal,
Protocol  Officer  (V-I), Foreign Affairs",5500
Mir      Zafarullah      Khan,5500
"Mr.       Saeed       Akhtar, Protocol   Assistant,   M/o Foreign Affairs",5500
"Lt.    Col.    Asim    Saleem
Bajwa,    Deputy    Military Secretary to the President",5500
Minister   for   Kashmir   Affairs   and,5500
"Mian  Mohammad  Soomro, Caretaker Prime Minister of Pakistan",5500
"Constable    Rab    Nawaz, Gunman",5500
"H/C   Muhammad   Bashir, Gunman",5500
"First      Lady      of Pakistan,   wife   of Mr.         Mamnoon
Hussain",5500
"Begum   Sahiba,   Wife   of Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",5450
"Mr.      Hassan      Iqbal, Secretary,   M/o   Textile Industries",5300
"Col.    Salik    Nawaz (Retd),         Deputy Chief of Protocol (V-
II)",5300
"Spouse      of      Mr. Farooq    H.    Naek,
Chairman Senate",5000
Sqn  Ldr  Saad  bin  Riaz ADC to the President,5000
"Syed  Mushir  Ali  Shahid, Deputy   Press   Secretary
to the President",5000
"Sheikh   Rasheed   Ahmed Minister for Information &
Broadcasting",5000
Pakistani   delegation (Secretary    General,5000
"Mr. Munir Ahmed,
JS Establishment Division",5000
"Prime          Minister, Mr.Imran Khan",5000
"Prime   Minister,   Mr. Imran  Khan  and  his wife",5000
SAPM on Foreign Affairs,5000
Mr. Zahid Rizwan (Tech),5000
"Mr. Sajid Latif Awan, DG (G & EA), PTA.",5000
Mr. Mamnoon Hussain President of Pakistan,5000
Mr.  Saqib  Mahmood  AM (Tech),5000
"Mr.   Shaukat   Aziz,   Prime Minister of Pakistan  Begum
Sahiba",5000
"Mr. Irfan Siddiqui, SAPM on     National     Affairs/
Federal Minister",5000
"Mr.  Hasnain  Ali,  PN  AM (Tech)",5000
"Mr.    Ghalib    Iqbal, Chief    of    Protocol,
Foreign Affairs",5000
"Mr.    Sohail    Mehmood, Additional        Secretary (West    Asia),    Foreign
Affairs",5000
Mr.    Kazim    Altaf    AM (Tech),5000
"Mr.    Moin    Ul    Haq, Chief of Protocol",5000
Mr.   Aqeel   Rashad   AM (Tech),5000
"Mr.   Farhatullah   Babar,",5000
"Mr.   Khurshid   M.   Kasur,
Minister      for      Foreign Affairs",5000
"Mr.    Farooq    H.    Naek, Chairman Senate",5000
Mr.   Muazam   Hayat   AM (Tech),5000
"Mr.   Khalid   Saeed, Secretary IT",5000
"Mir.      Ahmed      Waqar, Secretary     Ministry     of Petroleum     &     Natural
Resources",5000
"Mr.      Murad      Saeed, Federal     Minister     for
communications",5000
"Mr.     Muhammad     Ali Durrani,    Minister    for Information                 &
Broadcasting",5000
"Mr.      Javed      Rafique, Director, IB.",5000
"Military Secretary to the   President,   MS (P)",5000
"Maj. Gen. Abid Hasan, DG, JI & IO, M/o Defence",5000
"Maj.   Qamar   Abbas, SO (P)",5000
"Director Marketing,       HIT
Taxila",5000
"Director              General (Protocol), Mr. Ali Haider
Altaf",5000
"General         Parvez
Musharraf, President of Pakistan",5000
"Col. Salik Nawaz, Deputy Chief of Protocol, Foreign
Affairs",5000
"Deputy Chief of protocol, Mr. Adeel Ahmad Khan",5000
Brig      Sheryar      Munir Hafiez MS(P),5000
Begum Prime Minister of,5000
"Brig. ®Mian Khalid Habib, Chief of Protocol, Foreign",5000
"Brig  Muhammad  Aamer, Military Secretary to the President",5000
"Brig.  Muhammad  Ahmed,  Military Secretary to the Prime Minister",5000
"Mr.  Sikandar  Hayat  Khan Bosan,    Minister    Food, Agriculture & Livestock",4900
"Mr.  Sikandar  Hayat  Khan
Bosan,    Minister    Food, Agriculture & Livestock",4700
"Mr.      Jahangir      Khan, Tareen,      Minister      for Industries,       Production
and Special Initiatives",4600
"Sqn   Ldr   Umer   Farooq, ADC(P)",4500
"Wg. Cdr. Waqar Ahmed, Deputy               Military
Secretary  to  the  Prime Minister",4500
"Mr. Mohsin Khan, Controller General of Accounts",4500
"Mr. Sartaj Aziz, Advisor to PM",4500
"Mr. Shaukat Aziz, Finance",4500
SAPM     on     Foreign Affairs,4500
"Mr. Ejaz Rahim, Minister for Health",4500
"Mr.  Mufti  Afzal,  Deputy Chief       of       Protocol, Foreign Affairs",4500
"Mr.  Hamid  Nawaz  Khan, Minister    of    Interior    &
Narcotics Control",4500
"Mr.     Zafar     Mahmood, Secretary Commerce",4500
"Mr.   Murad   Saeed, Federal  Minister  for
Communication      & Postal Services",4500
"Mr.    Tariq    Aslam,    AS (Protocol)",4500
"Mr.    Sibtain    Fazal Haleem,    Secretary EAD",4500
"Mr.     Abdul     Rasheed, (Protocol Assistant)",4500
"Mr    Ghalib    Iqbal, Chief    of    Protocol, Foreign Affairs",4500
"Mr.          Aurangzeb Khan,     Comptroller Household,      Prime
Minister, Secretariat",4500
Lt   Cdr.   Faizan   Haider ADC(P),4500
"L/NK
Sami    Ullah,    (Security staff)",4500
Foreign       Minister       of Pakistan,4500
Hav Tahir Mehmood (Security staff),4500
"Hav     Ali     Muhammad, (Security staff)",4500
"Dr.    Abdul    Hafeez Shaikh,  Minister  for
Privatization",4500
"Hav     Iqbal,     (Security staff)",4500
"Brig.    Azhar    Mehmood
Personal     Physician     to Prime Minister",4500
"Brig.  Irfan  Azam  Military Secretary      to      Prime
Minister",4500
"Begum    Prime    Minister, Wife  of  Syed  Yousaf  Raza
Gillani",4500
"Ch.   Amir   Hussain,
Speaker      National Assembly",4500
"Col.    Salik    Nawaz (Retd),         Deputy
Chief of Protocol",4400
"Shahbaz   M.   Malik,
Protocol  officer  (V- II)",4300
"M.      Yousaf      Ali,
Director       General (Africa)",4300
"Ms.  Hina  Rabbani  Khar, Minister   of   State   for Economic Affairs",4200
"Mr.  Mumtaz  Malik,  Joint Secretary,        (EF-C&B),
Finance Division",4200
Attorney General for Pakistan,4200
"Syed     Abrar     Hussain,
Director (SAARC), Foreign Affairs",4000
"Sep. Asif Riaz, Gunman",4000
Syed     Nayyer     Hussain Bokhari Chairman Senate,4000
"Sep.   M.   Imran   Mushtaq, Gunman",4000
"Syed   Anwar   Mahmood,
Secretary  Information  & Broadcasting",4000
"Sep. Gul Zamin, Gunman",4000
"Syed     Tariq     Fatemi,",4000
"Mr. Muslim Dad, Valet",4000
"Mr. Muhammad Ilyas Dar,
Joint      Secretary      M/o Religious Affairs",4000
"Mr.  Ahmed  Waqar, Secretary, Privatization
Commission",4000
"Mr.    Saeed    Akhtar, Protocol           Officer
(Addl), Foreign Affairs",4000
"Mr.   Muhammad   Ahad,   Deputy Secretary (CF-I)",4000
"Mr.    Abdus    Sattar Laleka,          Labour
Minister",4000
"Mr.    Justice    Muhammad    Bashir Jehangiri,        Wafaqi        Mohtasib (Ombudsman)",4000
"Mr.     Khalid     Aziz Babar,          Special",4000
"Minister for Privatization, Mr. Ghous Bux Mehr",4000
"Maj.  Asad  Farooq,  SO  to President",4000
"Maj.   Israr   Ahmed   Khan, Protocol Assistant.",4000
"Maj. Tahir Mahmood, SO to President.",4000
"Minister  of  State  for
National           Health Services",4000
"Member               Finance, Additional         Secretary, Ministry of Railways",4000
"Maj.  Imran  Haider, ADC        to        the
President,         ADC (Army)",4000
"L/NK       Naeem       Ishaq, Gunman",4000
"L/NK   Rana   Ijaz   Ahmed, Gunman",4000
"Hav.      Tariq      Mahmood,",4000
"Dr.  Waqar  Masood  Khan, Prime Minister Secretariat",4000
"First        Lady        of
Pakistan,  wife  of  Mr. Mamnoon Hussain",4000
"For  Begum  sahiba  of  Mr.
Shaukat       Aziz,       Prime Minister of Pakistan",4000
"Dr.   Waqar   Masood Khan,       Secretary, Economic       Affairs
Division",4000
"Col.    ®    Salik    Nawaz, Deputy  Chief  of  Protocol
foreign Affairs",4000
"Assistant       Director
(GR-I),           Foreign Affairs",4000
"Begum     President     of
Pakistan,   Wife   of   Mr. Mamnoon Hussain",4000
"Brig.   Nauman   Anwar, Managing Director, Tank Manufacture      Factory,
HIT",4000
Auditor      General      of Pakistan,4000
"Begum    Sahiba    of    Mr. Shaukat       Aziz,       Prime
Minister of Pakistan",3800
"Brig. ®Mian Khalid Habib,
Chief of Protocol, Foreign Affairs",3700
Col.  ®  Salik  Nawaz  DCP to Prime Minister,3600
"Wing   Commander   Waqar Ahmad,  DMS  to  the  Prime Minister    (Deputy    Military
Secretary    to    the    Prime Minister)",3500
"Sq.  Ldr.  Saad  bin  Riaz, ADC to the president",3500
"Syed     Nayyer     Hussain Bokhari, Chairman Senate",3500
"Syed Sumsam Ali S. Bokhari,  Minister  of",3500
"Syed  Afzal  Hussain
Shah,          Protocol Officer (V-I)",3500
"Protocol                 Officer
(Additional)    Ministry    of Foreign Affairs",3500
Protocol Officer Ministry of Foreign Affairs,3500
"Ms.            Farhanaz Isfahani, MNA",3500
"Mr.  Saleem,  APO  Ministry of Foreign Affairs",3500
"Mr.  J.  Bashar,  Secretary, Board of Investment",3500
"Mr.   Shaukat   Aziz,   Minister   for Finance",3500
"Mr.  Abdul  Razak  Dawood,  Minister
for    Commerce,    Industries    and Production",3500
"Mr. M. Adnan Jamil, LDC  Prime  Minister Secretariat",3500
"Mr.   Saqlain   Javed, Protocol  Officer  (V-
I)",3500
"Mr.  Khalid  Siraj,  Senior,  Adviser  to Finance Minister",3500
"Mr.  Abdul  Razak  Dawood,  Minister for    Commerce,    Industries    and
Production",3500
"Mr.     Zafar     Iqbal,
UDC, Prime Minister Secretariat",3500
"Mr.             Mushtaq Ahmed,      Assistant Prime          Minister
Secretariat",3500
"Mr.      Jahangir      Khan Tareen,     Minister     for
Industries,     Production and Special Initiatives",3500
Minister Kashmir Affairs,3500
"Lt.       Col       Babar Mumtaz, CSO to the
President, CSO (P)",3500
"Leader   of   the   House, Senate",3500
"Malik  Nisar  Ahmed, Suptt Prime Minister
Secretariat",3500
"Maj.     Waqar     Ahmed, Addl. CSO to President",3500
"Lt. Col. Tariq Ali, CSO to President",3500
"Lt.   Cdr.   Fahad   Usman Khattak,       ADC       to
President.",3500
"Engr.    Dr.    M.    Akram Sheikh, Deputy Chairman
Planning Commission",3500
"Daughter President of Pakistan,              Mr.
Mamnoon Hussain",3500
"Dr.   Waqar   Masood
Khan,       Secretary, EAD",3500
Deputy  Chief  of  protocol Ministry of Foreign Affairs,3500
"Brig. Irfan Azam, MS to the Prime     Minister     (Military
Secretary    to    the    Prime Minister)",3500
Chief  of  Protocol  Ministry of Foreign Affairs,3500
"Chief    of    Protocol, M/o Foreign Affairs",3500
"Begum          Kalsoom Muhammad      Nawaz Sharif,   wife   of   Mr. Muhammad      Nawaz
Sharif",3500
Chairman of Senate,3500
"Brig.                Mian
Muhammad       Hilal
Hussain,  MS  to  the President, MS(P)",3500
"Senator Tariq Azim Khan,
Minister        of        State Overseas Pakistanis",3200
"Brig.  Tahir  Mahmud  Malik, Military   Secretary   to   the
Prime Minister",3200
Waseem   Abbas   ADC   to Prime Minister,3000
"Syed          Safwanullah, Federal     Minister     for
Housing & Works",3000
"Muhammad           Akram Nursing     Assistant     to
Prime Minister",3000
"Mr.  Mohsin  Hassan  Butt, Chief    Security    to    the
Prime Minister",3000
"Mr.  Sikandar   Hayat   Khan
Bosan,      Minister      Food, Agriculture & Livestock",3000
"Mr. Khadim Hussain,
Assistant,        Prime Minister Secretariat",3000
"Mr.   Zahid   Sarfraz,
UDC  Prime  Minister Secretariat",3000
"Mr.  Talat  Mehmood, UDC  Prime  Minister
Secretariat",3000
"Mr.  M.  Amjad  Aziz Qazi,  Deputy  Chief Protocol,       Foreign
Affairs",3000
"Mr.    S.S.    Pirzada, Advisor to the Prime
Minister",3000
"Mr.    Farhatullah    Babar, Media Advisor to President",3000
"Mr.    Shaukat    Fayaz Ahmed  Tarin  Minister for Finance, Economic
Affairs and Statistics,",3000
"Mr.    Jehangir    Bashar,
Secy,  M/o  Privatization and Investment",3000
"Mr.     Khalid     Aziz
Babar,          Special Foreign Secretary",3000
Mr.      Faridullah      Khan Jamali,3000
"Mir      Zafarullah      Khan Jamali,  Ex-Prime  Minister
of Pakistan",3000
"Mr.     Altaf     M.     Saleem, Chairman ERRA",3000
"Mr.      Ashraf      Qureshi, Additional          Secretary (FSA),   Prime   Minister’s
Secretariat.",3000
Mohammad     Nafees,3000
"Major  Shahid  Ajmal  Raja
Assistant  Security  Officer to Prime Minister",3000
"Maj.   Gen.   Abid   Hasan DG JI & IO, GHQ",3000
"Maj.    Sajjad    Hussain, ADC     to     the     Prime
Minister",3000
"Dr.   Moeed   Yousaf, SAPM    on    National
Security",3000
"Dr. Abdul Hafeez Shaikh, Minister     for     Finance,
Revenue   and   Economic Affairs,",3000
"Foreign        Minister,
Shah            Hussain Mehmood Qureshi",3000
"For  Begum  sahiba  of  Mr. Shaukat       Aziz,       Prime
Minister of Pakistan",3000
"General        Parvez         Musharraf,",3000
"Capt.  (PN)  Amir  Saeed, Deputy Military Secretary to the President
(DMS to the President)",3000
"Begum     Sahiba,     Mr. Shaukat    Aziz,    Prime
Minister of Pakistan",3000
6 participants officers,3000
"Brig.    Mian    Mohammad
Halal    Hussain,    MS    to President, MS (P)",3000
"Chaudhry  Salik  Hussain,  Federal Minister",3000
"Capt     (R)     Abdul Saeed,  SP  Security
Prime          Minister Secretariat",3000
"Begum  General  Parvez  Musharraf, President/     Chief     Executive     of
Pakistan",3000
Maj     Irfan     Mehmood SO(P),2700
"Sq.    Ldr.    Malik    Jalal Farooq,    ADC    to    the
President",2500
"Syed  Ahsan  Raza  Shah, Deputy  Chief  of  Protocol,
M/o Foreign Affairs",2500
"Syed   Tariq   Fatemi, SAPM/    Minister    of
State     for     Foreign Affairs",2500
"Sep.     Rana     Ijaz
Ahmed,      Gunman, President Sectt.",2500
"Sep.     Farmanullah,
Gunman,   President Sectt.",2500
"Nk.  Sabz  Ali  Khan, Gunman,   President
Sectt.",2500
"Ms.      Seema      Naqvi,
Additional        Secretary (ME&A), Foreign Affairs",2500
"Mr.   Sabir   Hussain,
Special         Branch, President Sectt.",2500
"Mr.  Khurshid  M.  Kasuri,",2500
"Mr.  Mushtaq  Ahmed Valet,        President Secretariat",2500
"Mr.   Shaukat   Fayaz Ahmed            Tarin, Minister for Finance, Revenue    Economic
Affairs and Statistics",2500
"Mr.    Tariq    Aslam, Protocol        Officer,",2500
"Mr.        Muhammad Junaid            Khan,
Protocol    Assistant, President Sectt.",2500
"Mr.        Muhammad Sohail,       Gunman,
President Sectt.",2500
"Mr.                 Nazar
Muhammad  Gondal, Minister  for  Food  & Agriculture and Agro
based Industry",2500
"Mr.      Mushir      Ali Shahid,  Information Officer,      President
Sectt.",2500
"Mr.     Ahmad     Waqar, Secretary,   Ministry   of
Petroleum   and   Natural Resources",2500
"Mr.       Ahmed       Waqar,       Secretary Privatization Commission",2500
"Mr.       M.       Uzair Shafique,     Protocol
Assistant,   President Sectt.",2500
"Minister   of   State   for
Finance, Mr. Omar Ayub Khan",2500
"Maj. Gen. Tassawar, PP (P)",2500
"Lt.  Col.  Syed  Muhammad Adnan, DMS (P)",2500
"Lt.   Col.   Babar   Mumtaz, CSO (P)",2500
"Lt.  Col.  Baber  Mumtaz, Chief  Security  Officer  to",2500
"Maj  Muhammad  Nadeem Butt, SO (P)",2500
"Lt.   Col.   Babar   Mumtaz, Chief   Security   Officer   to
the President of Pakistan",2500
Minister     Petroleum     &     Natural Resources,2500
"Mian  Mohammad  Soomro, Caretaker Prime Minister of
Pakistan",2500
"Lt. Col. Imran Hyder, DMS
to     the     President     of Pakistan",2500
"Dr.   Waqar   Masood Khan,       Secretary,
EAD",2500
"Foreign   Secretary,   Mr. Sohail Mehmood",2500
"Hav.      Muhammad
Jamil,        Gunman,",2500
"Dr.       Asim       Hussain,
Personal Physician to the President",2500
"Cdr.  Syed  Salman  Shah, ADC  to  the  President  of Pakistan",2500
"Brig.     Tahir     Mahmud Malik,  Military  Secretary
to the Prime Minister",2500
"Brig.   Syed   M.   Adnan, Military  Secretary  to  the President   (MS   to   the
President)",2500
"Brig Nauman Anwar, Director Marketing & Procurement",2500
"Cdr.  Amir  Saeed,  ADC  to President, ADC (P)",2500
"Brig.    Tahir    Ali    Malik,
Military  Secretary  to  the Prime Minister",2500
"Brig.    Mian    Muhammad Halal    Hussain,    MS    to
President, MS (P)",2500
"Brig.        M.        Iftikhar
Mansoor,            Director General",2500
"Mr.  Atta  Mohammad  Raja, Additional           Secretary, Planning    &    Development
Division",2200
"Minister   for   Energy (Power  Division)  Mr.
Omer Ayub Khan",2200
"General     Nadeem     Taj,     Military Secretary to Chief Executive",2200
"Minister  for  Commerce,  Industries and Production",2004
"Sub.  Muhammad  Saleem, Security Officer,",2000
"Sep    Muhammad    Habib Sultan,",2000
Secretary Interior,2000
"Sqn.Ldr.   Saad,   ADC (P)",2000
"Sardar  Yar  Muhammad Rind,       Minister       for",2000
"Rear    Admiral    Naveed
Ahmed    SIM,    Director General, MTC",2000
National Heritage,2000
"Raja   Hassan   Abbas,",2000
"Prime Minister of Pakistan, Syed Yousaf Raza Gillani",2000
"Mr.    Salim    Gul    Shaikh, Secretary M/o Culture",2000
"Mr.   Fayyaz   Muhammad,
Protocol     Assistant     to President",2000
"Mr.     Sikandar     Hayat
Khan,  Minister  for  Food Agriculture & Livestock",2000
"Mr.         Farhatullah Babar, Spokesperson to the
President",2000
"Mr.     Muhammad     Ali Durrani,    Minister    for
Information                 & Broadcasting",2000
"Mr.     Muhammad     Uzair Shafiq, Protocol Assistant",2000
"Mr.     Khalid     Aziz Mirza,       Chairman Competition Commission          of
Pakistan",2000
Maj.  Gen.  Ali  Abbas Haider  HI  (M)  S  Bt DGMT,2000
"Leader  of  the  House, Senate",2000
"Hav.      Walayat      Shah, Security Official",2000
"Cdr.    Amir    Saeed, ADC        to        the
President, ADC(N)",2000
"Mr.     Sikandar     Hayat Khan    Bosan,    Federal Minister       for       Food
Agriculture & Livestock",1850
"Syed     Abrar     Hussain, Director (SAARC), Foreign Affairs",1800
"Mr. Salim Iqbal, Sr. Joint",1800
"Mr. Nawid Ahsan, Finance Secretary",1800
"Lt.  Cdr.  Waseem  Abbas Naqvi,  ADC  to  the  Prime
Minister",1800
Auditor       General       of Pakistan,1800
"Dr. Abdul Hafeez  Shaikh, Minister for privatization",1750
"Secretary,    Ministry    of
Petroleum     &     Natural Resources",1700
"News     Producer,     PTV
News         Headquarter, Lahore",1700
"Director Marketing,      HIT, Taxila",1700
Minister for Railways,1650
"Deputy    Secretary(China), Economic   Affairs   Division
(EAD)",1600
"Syed     Tariq     Fatemi,
SAPM",1500
"Wing           Commander Waqar   Ahmad,   Deputy Military Secretary to the
Prime  Minister,  DMS  to the Prime Minister",1500
"Syed    Ahsan    Raza
Shah,  DCP  Foreign Affairs",1500
"Ms.      Seema      Naqvi, Additional        Secretary (ME&A), Foreign Affairs",1500
"Ms.   Shaista   Pervaiz Malik, MNA/Secy WPC",1500
"Mr.  Shaukat  Aziz,  Advisor  to  the Prime   Minister   on   Finance   and",1500
"Mr.  Murad  Saeed,
Minister   of   State for Commerce",1500
"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  for  Food and Agriculture",1500
"Mr.  Mohsin  Hassan  Butt, Chief  Security  Officer  to the Prime Minister",1500
"Mr.   Muhammad   Jameel,   Section Officer",1500
"Mr.    Naeem    Iqbal Cheema,      Protocol Officer,         Foreign
Affairs",1500
"Mr.    M.    Mumtaz    Malik,    Deputy Secretary (EFB)",1500
"Mr.     Omer     Ayub Khan,    Minister    of",1500
"Mr.              Abdul              Jabbar, DG (SWO)",1500
"Miss.      Rabbani      Khar,
Parliamentary   Secretary, Economic Affairs Division",1500
"Mr.      Ahmed      Waqar, Secretary    Petroleum    &
Natural Resources",1500
"Mr.      Jahangir      Khan, Tareen,      Minister      for
Industries,       Production and Special Initiatives",1500
"Mr.           Muhammad Farhat  Iqbal,  Protocol Officer,           Foreign
Affairs",1500
"Mr.      Jahangir      Khan Tareen,     Minister     for Industries,     Production
and Special Initiatives",1500
"Dr. Waqar  Masood Khan, Additional Finance Secretary (EF/Policy)",1500
"Col. Salik Nawaz, Deputy Chief of Protocol, Foreign Affairs.",1500
"Col.    Salik    Nawaz (Retd),         Deputy Chief of Protocol",1500
"Dr.   Moeed   Yousaf, SAPM    on    National Security   Division   & Strategic          Policy
Planning",1500
"Begum  General  Parvez  Musharraf, Chief Executive of Pakistan",1500
Chief of Protocol and Deputy Chief Protocol Ministry of Foreign Affairs,1500
"Col.      Salik      Nawaz®, Deputy  Chief  of  Protocol,
Foreign Affairs",1500
"Chairman,         National Commission  for  Human Development (NCHD)",1500
"Begum    Sahiba    of    Mr.
Shaukat       Aziz,       Prime Minister of Pakistan",1500
Unknown  (gifts  were  lying  in  the office  of  Minister  for  Foreign  Affairs since long),1431
"Mr.     Nawid     Ahsan,     Secretary, Economic Affairs Division",1400
"Mr.     M.     Ali     Malkani, Minster of State for Food,
Agriculture & Livestock",1400
"Prime   Minister   of Pakistan,          Mr. Imran Khan",1300
"Rear    Admiral    Naveed Ahmad    SIM    Director General, MTC",1250
"Mr. Khair Mohamed Janejo, Minister Food, Agriculture and Live Stock",1250
"Syed  Afzal  Hussain Shah,          Protocol
Officer           (V-II), Foreign Affairs",1200
"Mrs.  Major  General, Nadeem            Taj, Military Secretary to
President",1200
Mr. Owais Muzafar,1200
"Mr. Rafiqullah, Staff Car Driver, Cabinet Division",1200
"Mr. Arshad Ali, Staff Car Driver, Cabinet Division",1200
"Mr. Ashraf Ali Assistant, Cabinet Division",1200
"Mr.   Shaukat   Aziz,   Prime",1200
"Mr.  Nadeem,  Staff  Car Driver
Cabinet Division",1200
"Mr.  Sikandar  Hayat  Khan Bosan,   Federal   Minister
Food,      Agriculture      & Livestock",1200
"Mr.  Salman  Bashir, Additional  Secretary
(AP), Foreign Affairs",1200
"Mr.  Shaukat  Aziz,  Advisor  to  the Prime   Minister   on   Finance   and
Economic Affairs",1200
Mr.     Wali     Mohammad Badini Senator,1200
"Mr.    Tanweer    Khalique, Protocol  Officer  (Admn  &
Accounts)",1200
"Mr.     Jehangir     Bashar, Secretary,      Board      of
Investment",1200
"Mr.       Abdul       Ghani, Cleaner,             Cabinet
Division",1200
"Mr.     Ahmad     Waqar, Secretary,   Ministry   of Petroleum   and   Natural
Resources",1200
"Mr.     Azmat     Hussain Khan,   Section   Officer, Cabinet Division",1200
"Mohammad  Kurshid,  P.A to    Chief    of    Protocol,
Foreign Affairs",1200
"Mr.     Jehangir      Bashar Secretary,      Board      of Investment (B.O.I)",1200
"Lt.       Col.       Asim Saleem,        Deputy
Military Secretary to President",1200
"Lt.   Cdr.   Ahmad   Farooq
Butt,  ADC  to  the  Prime Minister",1200
"Major           General Nadeem            Taj,
Military Secretary to President",1200
"Lt.   Col.   Iftikhar   Ghani, Director   Security,   Prime
Minister Sectt.",1200
"Dr.   Tariq   Hassan, Advisor to the Prime Minister  on  Finance and           Economic
Affairs",1200
"Dr.   Abdul   Hafeez,
Shaikh,  Minister  for Privatisation",1200
"Col. Salik Nawaz, Deputy Chief of Protocol, Foreign
Affairs.",1200
"Chairman, ERRA",1200
"Mr.   Awais   Ahmed Khan           Leghari,
Minister   for   IT   & Telecommunications",1115
"Begum  General  Parvez  Musharraf,
President/     Chief     Executive     of Pakistan",1100
"Waqar    Mehsood    Khan, Secretary,         Economic Affairs Division",1050
"Secretary/Chairman
, Railways Board",1000
Syed Tariq Fatemi SAPM on Foreign Affairs,1000
"Sub.    Inspector    Arshad Mahmood, Police Gunman",1000
"Mr. Mohsin Ali Mehmood, LDC,      Prime      Minister Sectt.",1000
Mrs. Nadeem Taj,1000
"Mr.  Waqar   Masood
Khan,       Secretary, Economic Affairs",1000
"Mr.  Iftikhar  Anjum,  Deputy
Chief    of    Protocol,    DCP, Foreign Affairs",1000
"Mr. Ilyas Ahmed Belour,
Senator",1000
"Mr.  Shaukat  Aziz,  Advisor  to  the
Prime   Minister   on   Finance   and Economic Affairs",1000
"Mr.  Afrasiab,  Director General  (South  Asia) Foreign Affairs",1000
"Mr.    Khalid    Aziz    Babar Additional  Secretary  (UN
& EC) Foreign Affairs",1000
"Mr.    Justice    Muhammad    Bashir Jehangiri,        Wafaqi        Mohtasib
(Ombudsman)",1000
"Miss.      Rabbani      Khar, Parliamentary   Secretary, Economic Affairs Division",1000
"Mr.     Aamer     Ahmed Atozai, Director (NBBS) M/o FA",1000
"Joint                   Secretary
(UN/China),        Economic Affairs Division (EAD)",1000
"Maj.       Gen.       Khalid Mahmood, GHQ, Rwp.",1000
"Lt.   Col.   Ali   Ejaz   Rafi, GHQ",1000
"Dr.       Arif       Alvi, President of Pakistan
&    First    Lady    of Pakistan",1000
"Daughter       of       Ex- President    of    Pakistan
(Mr. Asif Ali Zardari)",1000
"Deputy       Chief       of Protocol     (V-I),     M/o
Foreign Affairs",1000
Director       General (Africa),1000
"GP.  Capt.  Waqar  Ahmad, Dy.  Military  Secretary  to
the Prime Minister",1000
"Dr.   Waqar   Masood   Khan, Special   Secretary   to   the
Prime Minister",1000
"Director  General  (B&U),  Ministry  of Privatization,                 Privatization
Commission",1000
"Begum    Brig.    Tahir    Ali Malik,    Wife    of    Military
Secretary   to   the   Prime Minister",1000
"Ch.   Amir   Hussain, Speaker      National
Assembly",1000
"Additional       Secretary-II, Economic   Affairs   Division
(EAD)",1000
"Syed     Abrar     Hussain, Director (SAARC), Foreign
Affairs",900
"Syed  Hasan  Javed, Additional Secretary,    Foreign
Affairs",900
Secretary        M/o Information         & Broadcasting,850
"Mohammad   Mohsin Khan,           Deputy
Auditor   General   of Pakistan",850
"Mr. Shabbir Anwar, Press Secretary  to  the    Prime
Minister",800
Muhammad          Hassan Private     Secretary     to,800
"Mr.   Farhatullah   Baber,
Spokesman      to      the President",800
"Mr.   Khushnood   Akhtar Lashari,             Principal
Secretary      to      Prime Minister (PSPM)",800
"Mr.     Imtiaz     Ahmed     Sahibzada,
Hon’ble Wafaqi Mohtasib",800
"Mr.       Khalid       Saeed, Secretary,         Economic Affairs Division",800
"Karamat     Ali,     Protocol Assistant       to       Prime
Minister",800
"Lt   Col.   Iftakhar   Ghani Director Security to Prime
Minister",800
"Maj  Sajjad  Hussain,  ADC to Prime Minister",800
"Col. Salik Nawaz, Deputy
Chief of Protocol, Foreign Affairs",800
"Dr. Tariq Hassan, Adviser to Finance Minister",800
"Brig.       Sami       Ullah, Personal Physician to the
Prime Minister",800
"a)    Dr.    Arif    Alvi, President of Pakistan
b)    First    Lady    of Pakistan",800
"Brig. Nasir Dilawar Shah,
Military  Secretary  to  the Prime Minister",800
"Syed Abrar Hussain, Director Afghanistan, Foreign
Affairs",750
"Wg. Cdr. Shahzad Fatah, ADC to Prime Minister",750
Secretary  Planning  &  Development Division,750
"Mr.     Afzal     Shah,
Protocol        Officer, Foreign Affairs",750
"Mr.     Imran     Mahmood
Chief  Security  (CSO)  to Prime Minister",750
"Lt.  Col.  Mirza  Kamran  Zia,  Deputy Military Secretary to Chief Executive",750
"Ms.   Saadia   Altaf   Qazi,   Protocol Officer   (V-I)   Ministry   of   Foreign
Affairs",700
"Ms.   Rabia   Shafiq,   Section   Officer (SARRC)",700
"For  Begum  sahiba  of  Mr. Shaukat       Aziz,       Prime",700
"Syed Afzal Hussain Shah, Protocol    Officer    (V-II), Foreign Affairs",650
"Mr.    Adeel    Ahmed Khan,          Protocol
Officer,         Foreign Affairs",650
"Mr.    Ahmad    Waqar,    Secretary,
Privatization,                 Privatization Commission",650
"Ch    Shahbaz    Hussain,
Minister   for   Population Welfare",650
